Year,Month,Month_Year,IndustryLvl1,IndustryLvl2,IndustryLvl3,IndustryLvl4,AFF2017,Region,Local_Government_District,Age,Age_Group,FocusArea1,FocusArea2,QuadBike,No_of_Fatalities
2010,1,01JAN2010,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Marlborough,Marlborough,34,25-34,Forestry,Tree Felling,,1
2010,1,01JAN2010,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Waikato,South Waikato,37,35-44,Forestry,Vehicles & Machinery,,1
2010,1,01JAN2010,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Auckland,Manukau,24,15-24,Not a focus area,Vehicles & Machinery,,1
2010,2,01FEB2010,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Manawatu-Whanganui,Whanganui,36,35-44,Not a focus area,Bodies of Water,,1
2010,2,01FEB2010,Construction,Construction Services,Land Development and Site Preparation Services,Site Preparation Services,Construction,Auckland,Waitakere,36,35-44,Construction,Vehicles & Machinery,,1
2010,2,01FEB2010,Construction,Construction Services,Land Development and Site Preparation Services,Site Preparation Services,Construction,Waikato,Hauraki,41,35-44,Construction,Vehicles & Machinery,,1
2010,2,01FEB2010,Construction,Construction Services,Land Development and Site Preparation Services,Site Preparation Services,Construction,Waikato,Otorohanga,3,14 and under,Construction,Vehicles & Machinery,,1
2010,2,01FEB2010,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Aged Care Residential Services,Health Care and Social Assistance,Bay of Plenty,Tauranga,87,65 and over,Not a focus area,Fall from height,,1
2010,2,01FEB2010,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Other Residential Care Services,Health Care and Social Assistance,Auckland,Manukau,12,14 and under,Not a focus area,Bodies of Water,,1
2010,3,01MAR2010,"Agriculture, Forestry and Fishing",Agriculture,Other Crop Growing,Other Crop Growing n.e.c.,Agriculture,Manawatu-Whanganui,Palmerston North,54,45-54,Agriculture,Vehicles & Machinery,,1
2010,3,01MAR2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Wellington,Masterton,73,65 and over,Agriculture,Vehicles & Machinery,,1
2010,3,01MAR2010,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Auckland,Waitakere,18,15-24,Not a focus area,Bodies of Water,,1
2010,3,01MAR2010,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Waste Collection Services,Solid Waste Collection Services,"Electricity, Gas, Water and Waste Services",Auckland,Manukau,29,25-34,Not a focus area,Vehicles & Machinery,,1
2010,4,01APR2010,"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Grape Growing,Agriculture,Nelson,Nelson,42,35-44,Agriculture,Vehicles & Machinery,,1
2010,4,01APR2010,"Agriculture, Forestry and Fishing",Agriculture,Other Crop Growing,Other Crop Growing n.e.c.,Agriculture,Marlborough,Marlborough,45,45-54,Agriculture,Vehicles & Machinery,,1
2010,4,01APR2010,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Northland,Far North,15,15-24,Not a focus area,Vehicles & Machinery,,1
2010,4,01APR2010,Construction,Construction Services,Building Structure Services,Roofing Services,Construction,Auckland,Waitakere,37,35-44,Construction,Fall from height,,1
2010,4,01APR2010,Manufacturing,Non-Metallic Mineral Product Manufacturing,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing,Manufacturing,Auckland,North Shore,43,35-44,Manufacturing,Falling/Moving Object,,1
2010,5,01MAY2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Taranaki,New Plymouth,57,55-64,Agriculture,Vehicles & Machinery,,1
2010,5,01MAY2010,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Gisborne,Gisborne,11,14 and under,Adventure Activities,Vehicles & Machinery,,1
2010,5,01MAY2010,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Public Order and Safety Services,Correctional and Detention Services,Public Administration and Safety,Waikato,Waikato,33,25-34,Not a focus area,Sudden Death,,1
2010,6,01JUN2010,"Transport, Postal and Warehousing",Transport Support Services,Water Transport Support Services,Port and Water Transport Terminal Operations,"Transport, Postal and Warehousing",Bay of Plenty,Tauranga,61,55-64,Ports & Marinas,Vehicles & Machinery,,1
2010,7,01JUL2010,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Canterbury,Christchurch,67,65 and over,Agriculture,Vehicles & Machinery,,1
2010,8,01AUG2010,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Waikato,South Waikato,34,25-34,Agriculture,Vehicles & Machinery,,1
