lighting,lux,distance_actual,avg_distance_estimated,fill_rate,filename
dawn_dusk,,5,,,dawn_dusk_5m.bag
dawn_dusk,,4,,,dawn_dusk_4m.bag
dawn_dusk,,3,,,dawn_dusk_3m.bag
dawn_dusk,,2,,,dawn_dusk_2m.bag
dawn_dusk,,1,,,dawn_dusk_1m.bag
overcast,,5,,,overcast_5m.bag
overcast,,4,,,overcast_4m.bag
overcast,,3,,,overcast_3m.bag
overcast,,2,,,overcast_2m.bag
overcast,,1,,,overcast_1m.bag
full_daylight,,5,,,full_daylight_5m.bag
full_daylight,,4,,,full_daylight_4m.bag
full_daylight,,3,,,full_daylight_3m.bag
full_daylight,,2,,,full_daylight_2m.bag
full_daylight,,1,,,full_daylight_1m.bag
direct_sunlight,,5,,,direct_sunlight_5m.bag
direct_sunlight,,4,,,direct_sunlight_4m.bag
direct_sunlight,,3,,,direct_sunlight_3m.bag
direct_sunlight,,2,,,direct_sunlight_2m.bag
direct_sunlight,,1,,,direct_sunlight_1m.bag
